rank,id,name,url
82,,David Paulino,http://www.baseballprospectus.com/player_search.php?search_name=David+Paulino
83,,Franklin Perez,http://www.baseballprospectus.com/player_search.php?search_name=Franklin+Perez
84,103743,Sean Reid-Foley,http://www.baseballprospectus.com/card/card.php?id=103743
85,67243,Frankie Montas,http://www.baseballprospectus.com/card/card.php?id=67243
86,102550,Trevor Clifton,http://www.baseballprospectus.com/card/card.php?id=102550
87,108966,Matt Manning,http://www.baseballprospectus.com/card/card.php?id=108966
88,107646,Zack Collins,http://www.baseballprospectus.com/card/card.php?id=107646
89,107192,Yusniel Diaz,http://www.baseballprospectus.com/card/card.php?id=107192
90,105321,Adonis Medina,http://www.baseballprospectus.com/card/card.php?id=105321
91,68660,Hunter Renfroe,http://www.baseballprospectus.com/card/card.php?id=68660
92,100152,Anthony Alford,http://www.baseballprospectus.com/card/card.php?id=100152
93,107174,Walker Buehler,http://www.baseballprospectus.com/card/card.php?id=107174
94,,Anderson Tejeda,http://www.baseballprospectus.com/player_search.php?search_name=Anderson+Tejeda
95,108822,Ian Anderson,http://www.baseballprospectus.com/card/card.php?id=108822
96,107921,Alec Hansen,http://www.baseballprospectus.com/card/card.php?id=107921
97,106198,Tyler Jay,http://www.baseballprospectus.com/card/card.php?id=106198
98,105735,Trent Clark,http://www.baseballprospectus.com/card/card.php?id=105735
99,,Kevin Maitan,http://www.baseballprospectus.com/player_search.php?search_name=Kevin+Maitan
100,102779,Tyler Wade,http://www.baseballprospectus.com/card/card.php?id=102779
